name,price,link,image_url,source_url
Kyocera ECOSYS MA4500ix Mono Multifunction Laser Printer,"Ksh 150,000",https://abmltd.co.ke/products/kyocera-ecosys-ma4500ix-mono-multifunction-laser-printer__3acfc49a-a3fc-4aa1-8204-856638a2c306,https://api.sooq.africa/images/3fd01da5-f0c9-43ed-8af5-885097debd16.png,https://abmltd.co.ke/departments/new_printers
Pantum BM5100ADW A4 Mono Laser Printer,"Ksh 55,000",https://abmltd.co.ke/products/pantum-bm5100adw-a4-mono-laser-printer__79bd9f37-dbd3-417e-8497-5770aaa61ffa,https://api.sooq.africa/images/1c433528-03a2-4729-a983-686ae127f18d.jpg,https://abmltd.co.ke/departments/new_printers
Pantum CM1100DW A4 Color Laser Printer,"Ksh 60,000",https://abmltd.co.ke/products/pantum-cm1100dw-a4-color-laser-printer__4fe596ae-3369-434d-b82c-402585e55410,https://api.sooq.africa/images/f00265f2-fb09-42ab-8754-bc0bc8f1e795.jpg,https://abmltd.co.ke/departments/new_printers
Pantum M7100DW A4 Mono Laser Printer,"Ksh 32,000",https://abmltd.co.ke/products/pantum-m7100dw-a4-mono-laser-printer__a307a843-afeb-4ed3-996f-382d99d02389,https://api.sooq.africa/images/006673a2-39e3-4cd7-a55a-6d6afb0d69e5.jpg,https://abmltd.co.ke/departments/new_printers
Pantum CM1100ADW A4 Color Laser Printer,"Ksh 75,000",https://abmltd.co.ke/products/pantum-cm1100adw-a4-color-laser-printer__457b8eaa-f606-48be-86f2-1652955e1a3c,https://api.sooq.africa/images/70eec11d-668a-4b1c-b0f1-d81cb513cd90.jpg,https://abmltd.co.ke/departments/new_printers
Pantum BM5100FDW A4 Mono Laser Printer,"Ksh 60,000",https://abmltd.co.ke/products/pantum-bm5100fdw-a4-mono-laser-printer__64e4cc71-2744-47c3-b715-044175a996b4,https://api.sooq.africa/images/7aff2cab-5229-4af8-b92c-f02af9f68cf9.jpg,https://abmltd.co.ke/departments/new_printers
Pantum M6559NW A4 Mono Laser Printers,"Ksh 27,000",https://abmltd.co.ke/products/pantum-m6559nw-a4-mono-laser-printers__1a4d528a-9744-47d0-92aa-47d50087131c,https://api.sooq.africa/images/179f2d41-9d34-48d6-844a-2d2ad5ce4320.png,https://abmltd.co.ke/departments/new_printers
Ricoh Aficio IM4000A A3 Mono Laser MFP Printer,"Ksh 525,000",https://abmltd.co.ke/products/ricoh-aficio-im4000a-a3-mono-laser-mfp-printer__74b10a34-aa38-4e52-9f03-e844bed33c94,https://api.sooq.africa/images/c096f0bc-76c5-486b-9138-8dc455f7cb3e.jpg,https://abmltd.co.ke/departments/new_printers
Ricoh Aficio IM3500 A3 Mono Laser MFP Printer,"Ksh 420,000",https://abmltd.co.ke/products/ricoh-aficio-im3500-a3-mono-laser-mfp-printer__67bdd34e-ca64-49d1-8dd1-8fe888c23d3d,https://api.sooq.africa/images/9cb19efc-f9a1-430b-9b1d-bb92bac572af.jpg,https://abmltd.co.ke/departments/new_printers
Pantum P3010DW Monochrome Laser Printer,"Ksh 26,000",https://abmltd.co.ke/products/pantum-p3010dw-monochrome-laser-printer__e01e634f-fd51-4931-b184-09f3420fd042,https://api.sooq.africa/images/09643b06-a218-48ee-9ca5-50873a7a4568.png,https://abmltd.co.ke/departments/new_printers
Pantum M7310DW A4 Mono Laser Printer,"Ksh 37,000",https://abmltd.co.ke/products/pantum-m7310dw-a4-mono-laser-printer__bced864a-498b-488d-b7a8-a0641c374bf3,https://api.sooq.africa/images/81ab02b3-945e-41b3-8774-add15f8c1fab.jpg,https://abmltd.co.ke/departments/new_printers
